epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-28,466,MA,,21,state,315541,4435.12058,437,8992,30,0.0285,7114598,False,False
202126,2021-06-28,478,MG,,31,state,1788725,8400.66246,2071,45924,36,0.0257,21292666,False,False
202126,2021-06-28,472,MS,,50,state,334681,11912.92499,1100,8153,30,0.0244,2809394,False,False
202126,2021-06-28,466,MT,,51,state,449566,12749.23289,1258,11964,38,0.0266,3526220,False,False
202126,2021-06-28,468,PA,,15,state,551140,6341.68877,1530,15444,24,28,8690745,False,False
202126,2021-06-28,474,PB,,25,state,392926,9727.63195,1115,8561,23,0.0218,4039277,False,False
202126,2021-06-28,474,PE,,26,state,547136,5689.48282,599,17579,28,0.0321,9616621,False,False
202126,2021-06-28,467,PI,,22,state,295500,9005.08307,492,6574,20,0.0222,3281480,False,False
202126,2021-06-28,474,PR,,41,state,1274017,11062.20977,5000,30451,6,0.0239,11516840,False,False
202126,2021-06-28,481,RJ,,33,state,953858,5492.61556,2498,55195,14,0.0579,17366189,False,False
202126,2021-06-28,474,RN,,24,state,337294,9543.81021,489,6748,16,0.02,3534165,False,False
202126,2021-06-28,466,RO,,11,state,247361,13769.35751,543,6129,16,0.0248,1796460,False,False
202126,2021-06-28,465,RR,,14,state,111858,17722.01635,14,1731,0,0.0155,631181,False,False
202126,2021-06-28,476,RS,,43,state,1210224,10594.64992,425,31158,41,0.0257,11422973,False,False
202126,2021-06-28,474,SC,,42,state,1047776,14447.09702,1635,16752,46,16,7252502,False,False
202126,2021-06-28,472,SE,,28,state,262764,11331.7883,317,5664,12,0.0216,2318822,False,False
202126,2021-06-28,490,SP,,35,state,3700378,7994.01884,4285,126112,62,0.0341,46289333,False,False
202126,2021-06-28,468,TO,,17,state,197266,12404.73184,558,3205,13,0.0162,1590248,False,False
202126,2021-06-27,468,AC,,12,state,85463,9554.59658,80,1736,0,0.0203,894470,False,False
202126,2021-06-27,477,AL,,27,state,214509,6400.30577,779,5281,21,0.0246,3351543,False,False
202126,2021-06-27,472,AM,,13,state,400781,9524.91068,248,13271,4,0.0331,4207714,False,False
202126,2021-06-27,465,AP,,16,state,116708,13542.77751,89,1824,2,0.0156,861773,False,False
202126,2021-06-27,479,BA,,29,state,1119127,7495.5089,1719,23739,30,0.0212,14930634,False,False
202126,2021-06-27,469,CE,,23,state,880418,9583.19505,1753,22442,22,0.0255,9187103,False,False
202126,2021-06-27,478,DF,,53,state,428352,14020.65824,920,9193,9,0.0215,3055149,False,False
202126,2021-06-27,480,ES,,32,state,514907,12669.7936,534,11417,11,0.0222,4064052,False,False
202126,2021-06-27,473,GO,,52,state,671228,9435.92079,459,18988,21,0.0283,7113540,False,False
202126,2021-06-27,465,MA,,21,state,315104,4428.97828,238,8962,16,0.0284,7114598,False,False
202126,2021-06-27,477,MG,,31,state,1786654,8390.93611,4004,45888,170,0.0257,21292666,False,False
202126,2021-06-27,471,MS,,50,state,333581,11873.77064,531,8123,34,0.0244,2809394,False,False
202126,2021-06-27,465,MT,,51,state,448308,12713.55729,339,11926,31,0.0266,3526220,False,False
202126,2021-06-27,467,PA,,15,state,549610,6324.08384,82,15420,14,0.0281,8690745,False,False
202126,2021-06-27,473,PB,,25,state,391811,9700028,2098,8538,16,0.0218,4039277,False,False
202126,2021-06-27,473,PE,,26,state,546537,5683.25402,847,17551,25,0.0321,9616621,False,False
202126,2021-06-27,466,PI,,22,state,295008,8990.08984,190,6554,23,0.0222,3281480,False,False
202126,2021-06-27,473,PR,,41,state,1269017,11018.79509,4696,30445,7,24,11516840,False,False
202126,2021-06-27,480,RJ,,33,state,951360,5478.23129,483,55181,28,58,17366189,False,False
202126,2021-06-27,473,RN,,24,state,336805,9529.97384,588,6732,10,0.02,3534165,False,False
202126,2021-06-27,465,RO,,11,state,246818,13739.1314,206,6113,1,0.0248,1796460,False,False
202126,2021-06-27,464,RR,,14,state,111844,17719.79828,124,1731,0,0.0155,631181,False,False
202126,2021-06-27,475,RS,,43,state,1209799,10590.92935,715,31117,40,0.0257,11422973,False,False
202126,2021-06-27,473,SC,,42,state,1046141,14424.55307,1619,16706,33,16,7252502,False,False
202126,2021-06-27,471,SE,,28,state,262447,11318.11756,475,5652,6,0.0215,2318822,False,False
202126,2021-06-27,489,SP,,35,state,3696093,7984.76185,7965,126050,134,0.0341,46289333,False,False
202126,2021-06-27,467,TO,,17,state,196708,12369.64297,199,3192,13,0.0162,1590248,False,False
202125,2021-06-26,467,AC,,12,state,85383,9545.65273,110,1736,0,0.0203,894470,False,False
202125,2021-06-26,476,AL,,27,state,213730,6377.06274,859,5260,21,0.0246,3351543,False,False
202125,2021-06-26,471,AM,,13,state,400533,9519.01674,471,13267,3,0.0331,4207714,False,False
202125,2021-06-26,464,AP,,16,state,116619,13532.44996,143,1822,2,0.0156,861773,False,False
202125,2021-06-26,478,BA,,29,state,1117408,7483.99566,3016,23709,49,0.0212,14930634,False,False
202125,2021-06-26,468,CE,,23,state,878665,9564.11395,2610,22420,68,0.0255,9187103,False,False
202125,2021-06-26,477,DF,,53,state,427432,13990.54514,786,9184,12,0.0215,3055149,False,False
202125,2021-06-26,479,ES,,32,state,514373,12656654,894,11406,18,0.0222,4064052,False,False
202125,2021-06-26,472,GO,,52,state,670769,9429.46831,242,18967,17,0.0283,7113540,False,False
202125,2021-06-26,464,MA,,21,state,314866,4425.63304,1064,8946,27,0.0284,7114598,False,False
